NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2019;3;01;9;6;1;09;1;2;N;N;4;1;2;2;N;;;;;;;1;02;4;04;4;2;1;25;1;49.2016
1;2019;3;01;9;6;1;03;1;1;S;N;4;2;;;N;;;;;;;;;;;;;;;3;53.9305
1;2019;3;01;9;1;1;09;1;1;N;N;4;3;1;2;N;;;;;;;1;02;8;04;2;;;40;2;65.2562
1;2019;3;01;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;53.9305
2;2019;3;01;2;1;2;14;1;1;N;N;4;2;1;4;N;;;;;;;1;02;7;04;2;;;0;1;213.1894
2;2019;3;01;2;6;1;13;1;2;N;N;2;1;;;N;;;;;;;4;04;5;04;4;2;;;2;173.0168
3;2019;3;01;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;73.4303
3;2019;3;01;9;1;1;10;1;1;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;2;72.133
3;2019;3;01;9;6;1;10;1;1;N;N;4;1;1;4;N;;;;;;;1;02;4;04;4;2;1;0;1;74.8133
3;2019;3;01;9;6;1;04;1;1;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;90.0328
4;2019;3;48;9;6;1;17;1;1;N;N;2;1;;;N;;;;;;;4;04;5;04;2;;;;1;188.3932
5;2019;3;20;3;6;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;1;10;1;;;;1;111.7183
6;2019;3;48;1;1;1;12;1;2;N;N;4;2;1;2;N;;;;;;;1;01;3;07;2;;;50;1;178.5215
6;2019;3;48;1;6;1;11;1;2;N;S;4;1;1;2;N;;;;;;;1;01;1;10;1;;;50;2;196.9738
6;2019;3;48;1;1;1;05;1;2;N;N;4;3;1;2;N;;;;;;;1;02;7;03;4;2;3;40;3;136.0535
7;2019;3;01;9;6;2;16;1;1;N;N;4;1;;;N;;;;;;;4;04;9;02;4;2;;;2;51.2808
7;2019;3;01;9;1;2;17;1;1;N;N;2;1;;;N;;;;;;;4;04;9;02;4;2;;;1;54.3085
8;2019;3;20;9;6;2;16;1;1;N;N;2;1;;;N;;;;;;;4;04;1;04;2;;;;1;139.0788
9;2019;3;48;9;6;1;09;1;2;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;107.2326
9;2019;3;48;9;1;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;88.0658
10;2019;3;48;9;1;2;15;1;2;N;N;2;1;;;N;;;;;;;4;04;9;02;4;2;;;1;179.8087
