Party,Year,Variables,Values,locality,division
déi Lénk,2013,Pourcentage,0.0475,CENTRE,Electoral district
déi Lénk,2013,TURPEL Justin,3737,CENTRE,Electoral district
déi Lénk,2013,WAGNER David,3428,CENTRE,Electoral district
déi Lénk,2013,FOETZ Guy,2888,CENTRE,Electoral district
déi Lénk,2013,DELVAUX Joël,2723,CENTRE,Electoral district
déi Lénk,2013,URBANY Laura,2700,CENTRE,Electoral district
déi Lénk,2013,STOOS Guy,2531,CENTRE,Electoral district
déi Lénk,2013,LENTZ Fabienne,2509,CENTRE,Electoral district
déi Lénk,2013,CARRILHO Beatriz,2503,CENTRE,Electoral district
déi Lénk,2013,ERPELDING Michel,2481,CENTRE,Electoral district
déi Lénk,2013,GORZA Thérèse,2361,CENTRE,Electoral district
déi Lénk,2013,LECUIT Janine dite Vania,2359,CENTRE,Electoral district
déi Lénk,2013,THOMA Cléo,2357,CENTRE,Electoral district
déi Lénk,2013,THOMAS Guy,2334,CENTRE,Electoral district
déi Lénk,2013,SIMON Claude,2288,CENTRE,Electoral district
déi Lénk,2013,SCHILTZ Claude,2239,CENTRE,Electoral district
déi Lénk,2013,JACQUES Yannick,2152,CENTRE,Electoral district
déi Lénk,2013,LECUIT-JACOBY Sylvie,2150,CENTRE,Electoral district
déi Lénk,2013,WOLTER Nicole,2131,CENTRE,Electoral district
déi Lénk,2013,SCHOSSELER Jeanne,2082,CENTRE,Electoral district
déi Lénk,2013,TESSARO  Isabella,1985,CENTRE,Electoral district
déi Lénk,2013,VALVASON Concetta,1913,CENTRE,Electoral district
déi Lénk,2013,Total Liste,51851,CENTRE,Electoral district
déi Lénk,2013,Suffrages de Liste,36729,CENTRE,Electoral district
déi Lénk,2013,Pourcentage,0.0593,Luxembourg,Commune
déi Lénk,2013,CARRILHO Beatriz,1222,Luxembourg,Commune
déi Lénk,2013,DELVAUX Joël,1352,Luxembourg,Commune
déi Lénk,2013,ERPELDING Michel,1237,Luxembourg,Commune
déi Lénk,2013,FOETZ Guy,1381,Luxembourg,Commune
déi Lénk,2013,GORZA Thérèse,1169,Luxembourg,Commune
déi Lénk,2013,JACQUES Yannick,1056,Luxembourg,Commune
déi Lénk,2013,LECUIT Janine dite Vania,1210,Luxembourg,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,1108,Luxembourg,Commune
déi Lénk,2013,LENTZ Fabienne,1237,Luxembourg,Commune
déi Lénk,2013,SCHILTZ Claude,1062,Luxembourg,Commune
déi Lénk,2013,SCHOSSELER Jeanne,1044,Luxembourg,Commune
déi Lénk,2013,SIMON Claude,1152,Luxembourg,Commune
déi Lénk,2013,STOOS Guy,1255,Luxembourg,Commune
déi Lénk,2013,TESSARO  Isabella,1013,Luxembourg,Commune
déi Lénk,2013,THOMA Cléo,1192,Luxembourg,Commune
déi Lénk,2013,THOMAS Guy,1198,Luxembourg,Commune
déi Lénk,2013,TURPEL Justin,1781,Luxembourg,Commune
déi Lénk,2013,URBANY Laura,1275,Luxembourg,Commune
déi Lénk,2013,VALVASON Concetta,964,Luxembourg,Commune
déi Lénk,2013,WAGNER David,1704,Luxembourg,Commune
déi Lénk,2013,WOLTER Nicole,1080,Luxembourg,Commune
déi Lénk,2013,Total Liste,25692,Luxembourg,Commune
déi Lénk,2013,Suffrages de Liste,18480,Luxembourg,Commune
déi Lénk,2013,Pourcentage,0.0326,Bertrange,Commune
déi Lénk,2013,CARRILHO Beatriz,66,Bertrange,Commune
déi Lénk,2013,DELVAUX Joël,81,Bertrange,Commune
déi Lénk,2013,ERPELDING Michel,68,Bertrange,Commune
déi Lénk,2013,FOETZ Guy,101,Bertrange,Commune
déi Lénk,2013,GORZA Thérèse,61,Bertrange,Commune
déi Lénk,2013,JACQUES Yannick,62,Bertrange,Commune
déi Lénk,2013,LECUIT Janine dite Vania,59,Bertrange,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,53,Bertrange,Commune
déi Lénk,2013,LENTZ Fabienne,67,Bertrange,Commune
déi Lénk,2013,SCHILTZ Claude,60,Bertrange,Commune
déi Lénk,2013,SCHOSSELER Jeanne,56,Bertrange,Commune
déi Lénk,2013,SIMON Claude,61,Bertrange,Commune
déi Lénk,2013,STOOS Guy,70,Bertrange,Commune
déi Lénk,2013,TESSARO  Isabella,55,Bertrange,Commune
déi Lénk,2013,THOMA Cléo,67,Bertrange,Commune
déi Lénk,2013,THOMAS Guy,69,Bertrange,Commune
déi Lénk,2013,TURPEL Justin,116,Bertrange,Commune
déi Lénk,2013,URBANY Laura,72,Bertrange,Commune
déi Lénk,2013,VALVASON Concetta,60,Bertrange,Commune
déi Lénk,2013,WAGNER David,96,Bertrange,Commune
déi Lénk,2013,WOLTER Nicole,51,Bertrange,Commune
déi Lénk,2013,Total Liste,1451,Bertrange,Commune
déi Lénk,2013,Suffrages de Liste,987,Bertrange,Commune
déi Lénk,2013,Pourcentage,0.0322,Contern,Commune
déi Lénk,2013,CARRILHO Beatriz,55,Contern,Commune
déi Lénk,2013,DELVAUX Joël,52,Contern,Commune
déi Lénk,2013,ERPELDING Michel,44,Contern,Commune
déi Lénk,2013,FOETZ Guy,55,Contern,Commune
déi Lénk,2013,GORZA Thérèse,45,Contern,Commune
déi Lénk,2013,JACQUES Yannick,40,Contern,Commune
déi Lénk,2013,LECUIT Janine dite Vania,48,Contern,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,50,Contern,Commune
déi Lénk,2013,LENTZ Fabienne,45,Contern,Commune
déi Lénk,2013,SCHILTZ Claude,44,Contern,Commune
déi Lénk,2013,SCHOSSELER Jeanne,38,Contern,Commune
déi Lénk,2013,SIMON Claude,39,Contern,Commune
déi Lénk,2013,STOOS Guy,45,Contern,Commune
déi Lénk,2013,TESSARO  Isabella,37,Contern,Commune
déi Lénk,2013,THOMA Cléo,37,Contern,Commune
déi Lénk,2013,THOMAS Guy,47,Contern,Commune
déi Lénk,2013,TURPEL Justin,94,Contern,Commune
déi Lénk,2013,URBANY Laura,53,Contern,Commune
déi Lénk,2013,VALVASON Concetta,43,Contern,Commune
déi Lénk,2013,WAGNER David,66,Contern,Commune
déi Lénk,2013,WOLTER Nicole,42,Contern,Commune
déi Lénk,2013,Total Liste,1019,Contern,Commune
déi Lénk,2013,Suffrages de Liste,756,Contern,Commune
déi Lénk,2013,Pourcentage,0.0416,Hesperange,Commune
déi Lénk,2013,CARRILHO Beatriz,171,Hesperange,Commune
déi Lénk,2013,DELVAUX Joël,201,Hesperange,Commune
déi Lénk,2013,ERPELDING Michel,194,Hesperange,Commune
déi Lénk,2013,FOETZ Guy,222,Hesperange,Commune
déi Lénk,2013,GORZA Thérèse,187,Hesperange,Commune
déi Lénk,2013,JACQUES Yannick,143,Hesperange,Commune
déi Lénk,2013,LECUIT Janine dite Vania,176,Hesperange,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,157,Hesperange,Commune
déi Lénk,2013,LENTZ Fabienne,198,Hesperange,Commune
déi Lénk,2013,SCHILTZ Claude,158,Hesperange,Commune
déi Lénk,2013,SCHOSSELER Jeanne,161,Hesperange,Commune
déi Lénk,2013,SIMON Claude,176,Hesperange,Commune
déi Lénk,2013,STOOS Guy,206,Hesperange,Commune
déi Lénk,2013,TESSARO  Isabella,135,Hesperange,Commune
déi Lénk,2013,THOMA Cléo,180,Hesperange,Commune
déi Lénk,2013,THOMAS Guy,171,Hesperange,Commune
déi Lénk,2013,TURPEL Justin,275,Hesperange,Commune
déi Lénk,2013,URBANY Laura,221,Hesperange,Commune
déi Lénk,2013,VALVASON Concetta,141,Hesperange,Commune
déi Lénk,2013,WAGNER David,261,Hesperange,Commune
déi Lénk,2013,WOLTER Nicole,161,Hesperange,Commune
déi Lénk,2013,Total Liste,3895,Hesperange,Commune
déi Lénk,2013,Suffrages de Liste,2604,Hesperange,Commune
déi Lénk,2013,Pourcentage,0.0338,Niederanven,Commune
déi Lénk,2013,CARRILHO Beatriz,60,Niederanven,Commune
déi Lénk,2013,DELVAUX Joël,91,Niederanven,Commune
déi Lénk,2013,ERPELDING Michel,60,Niederanven,Commune
déi Lénk,2013,FOETZ Guy,101,Niederanven,Commune
déi Lénk,2013,GORZA Thérèse,63,Niederanven,Commune
déi Lénk,2013,JACQUES Yannick,69,Niederanven,Commune
déi Lénk,2013,LECUIT Janine dite Vania,58,Niederanven,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,52,Niederanven,Commune
déi Lénk,2013,LENTZ Fabienne,69,Niederanven,Commune
déi Lénk,2013,SCHILTZ Claude,63,Niederanven,Commune
déi Lénk,2013,SCHOSSELER Jeanne,59,Niederanven,Commune
déi Lénk,2013,SIMON Claude,69,Niederanven,Commune
déi Lénk,2013,STOOS Guy,71,Niederanven,Commune
déi Lénk,2013,TESSARO  Isabella,53,Niederanven,Commune
déi Lénk,2013,THOMA Cléo,54,Niederanven,Commune
déi Lénk,2013,THOMAS Guy,66,Niederanven,Commune
déi Lénk,2013,TURPEL Justin,120,Niederanven,Commune
déi Lénk,2013,URBANY Laura,85,Niederanven,Commune
déi Lénk,2013,VALVASON Concetta,53,Niederanven,Commune
déi Lénk,2013,WAGNER David,100,Niederanven,Commune
déi Lénk,2013,WOLTER Nicole,55,Niederanven,Commune
déi Lénk,2013,Total Liste,1471,Niederanven,Commune
déi Lénk,2013,Suffrages de Liste,1029,Niederanven,Commune
déi Lénk,2013,Pourcentage,0.0408,Sandweiler,Commune
déi Lénk,2013,CARRILHO Beatriz,50,Sandweiler,Commune
déi Lénk,2013,DELVAUX Joël,50,Sandweiler,Commune
déi Lénk,2013,ERPELDING Michel,46,Sandweiler,Commune
déi Lénk,2013,FOETZ Guy,50,Sandweiler,Commune
déi Lénk,2013,GORZA Thérèse,45,Sandweiler,Commune
déi Lénk,2013,JACQUES Yannick,43,Sandweiler,Commune
déi Lénk,2013,LECUIT Janine dite Vania,45,Sandweiler,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,43,Sandweiler,Commune
déi Lénk,2013,LENTZ Fabienne,50,Sandweiler,Commune
déi Lénk,2013,SCHILTZ Claude,45,Sandweiler,Commune
déi Lénk,2013,SCHOSSELER Jeanne,42,Sandweiler,Commune
déi Lénk,2013,SIMON Claude,43,Sandweiler,Commune
déi Lénk,2013,STOOS Guy,51,Sandweiler,Commune
déi Lénk,2013,TESSARO  Isabella,44,Sandweiler,Commune
déi Lénk,2013,THOMA Cléo,43,Sandweiler,Commune
déi Lénk,2013,THOMAS Guy,44,Sandweiler,Commune
déi Lénk,2013,TURPEL Justin,83,Sandweiler,Commune
déi Lénk,2013,URBANY Laura,60,Sandweiler,Commune
déi Lénk,2013,VALVASON Concetta,39,Sandweiler,Commune
déi Lénk,2013,WAGNER David,55,Sandweiler,Commune
déi Lénk,2013,WOLTER Nicole,44,Sandweiler,Commune
déi Lénk,2013,Total Liste,1015,Sandweiler,Commune
déi Lénk,2013,Suffrages de Liste,798,Sandweiler,Commune
déi Lénk,2013,Pourcentage,0.0395,Schuttrange,Commune
déi Lénk,2013,CARRILHO Beatriz,49,Schuttrange,Commune
déi Lénk,2013,DELVAUX Joël,66,Schuttrange,Commune
déi Lénk,2013,ERPELDING Michel,58,Schuttrange,Commune
déi Lénk,2013,FOETZ Guy,52,Schuttrange,Commune
déi Lénk,2013,GORZA Thérèse,43,Schuttrange,Commune
déi Lénk,2013,JACQUES Yannick,45,Schuttrange,Commune
déi Lénk,2013,LECUIT Janine dite Vania,39,Schuttrange,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,41,Schuttrange,Commune
déi Lénk,2013,LENTZ Fabienne,46,Schuttrange,Commune
déi Lénk,2013,SCHILTZ Claude,45,Schuttrange,Commune
déi Lénk,2013,SCHOSSELER Jeanne,44,Schuttrange,Commune
déi Lénk,2013,SIMON Claude,40,Schuttrange,Commune
déi Lénk,2013,STOOS Guy,38,Schuttrange,Commune
déi Lénk,2013,TESSARO  Isabella,35,Schuttrange,Commune
déi Lénk,2013,THOMA Cléo,54,Schuttrange,Commune
déi Lénk,2013,THOMAS Guy,40,Schuttrange,Commune
déi Lénk,2013,TURPEL Justin,94,Schuttrange,Commune
déi Lénk,2013,URBANY Laura,58,Schuttrange,Commune
déi Lénk,2013,VALVASON Concetta,34,Schuttrange,Commune
déi Lénk,2013,WAGNER David,79,Schuttrange,Commune
déi Lénk,2013,WOLTER Nicole,44,Schuttrange,Commune
déi Lénk,2013,Total Liste,1044,Schuttrange,Commune
déi Lénk,2013,Suffrages de Liste,630,Schuttrange,Commune
déi Lénk,2013,Pourcentage,0.0401,Steinsel,Commune
déi Lénk,2013,CARRILHO Beatriz,80,Steinsel,Commune
déi Lénk,2013,DELVAUX Joël,82,Steinsel,Commune
déi Lénk,2013,ERPELDING Michel,80,Steinsel,Commune
déi Lénk,2013,FOETZ Guy,99,Steinsel,Commune
déi Lénk,2013,GORZA Thérèse,67,Steinsel,Commune
déi Lénk,2013,JACQUES Yannick,75,Steinsel,Commune
déi Lénk,2013,LECUIT Janine dite Vania,70,Steinsel,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,74,Steinsel,Commune
déi Lénk,2013,LENTZ Fabienne,83,Steinsel,Commune
déi Lénk,2013,SCHILTZ Claude,76,Steinsel,Commune
déi Lénk,2013,SCHOSSELER Jeanne,68,Steinsel,Commune
déi Lénk,2013,SIMON Claude,74,Steinsel,Commune
déi Lénk,2013,STOOS Guy,78,Steinsel,Commune
déi Lénk,2013,TESSARO  Isabella,60,Steinsel,Commune
déi Lénk,2013,THOMA Cléo,69,Steinsel,Commune
déi Lénk,2013,THOMAS Guy,63,Steinsel,Commune
déi Lénk,2013,TURPEL Justin,126,Steinsel,Commune
déi Lénk,2013,URBANY Laura,95,Steinsel,Commune
déi Lénk,2013,VALVASON Concetta,60,Steinsel,Commune
déi Lénk,2013,WAGNER David,112,Steinsel,Commune
déi Lénk,2013,WOLTER Nicole,68,Steinsel,Commune
déi Lénk,2013,Total Liste,1659,Steinsel,Commune
déi Lénk,2013,Suffrages de Liste,1197,Steinsel,Commune
déi Lénk,2013,Pourcentage,0.0342,Strassen,Commune
déi Lénk,2013,CARRILHO Beatriz,74,Strassen,Commune
déi Lénk,2013,DELVAUX Joël,89,Strassen,Commune
déi Lénk,2013,ERPELDING Michel,82,Strassen,Commune
déi Lénk,2013,FOETZ Guy,96,Strassen,Commune
déi Lénk,2013,GORZA Thérèse,56,Strassen,Commune
déi Lénk,2013,JACQUES Yannick,58,Strassen,Commune
déi Lénk,2013,LECUIT Janine dite Vania,66,Strassen,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,59,Strassen,Commune
déi Lénk,2013,LENTZ Fabienne,88,Strassen,Commune
déi Lénk,2013,SCHILTZ Claude,67,Strassen,Commune
déi Lénk,2013,SCHOSSELER Jeanne,52,Strassen,Commune
déi Lénk,2013,SIMON Claude,65,Strassen,Commune
déi Lénk,2013,STOOS Guy,74,Strassen,Commune
déi Lénk,2013,TESSARO  Isabella,56,Strassen,Commune
déi Lénk,2013,THOMA Cléo,77,Strassen,Commune
déi Lénk,2013,THOMAS Guy,67,Strassen,Commune
déi Lénk,2013,TURPEL Justin,112,Strassen,Commune
déi Lénk,2013,URBANY Laura,79,Strassen,Commune
déi Lénk,2013,VALVASON Concetta,52,Strassen,Commune
déi Lénk,2013,WAGNER David,108,Strassen,Commune
déi Lénk,2013,WOLTER Nicole,67,Strassen,Commune
déi Lénk,2013,Total Liste,1544,Strassen,Commune
déi Lénk,2013,Suffrages de Liste,1008,Strassen,Commune
déi Lénk,2013,Pourcentage,0.0458,Walferdange,Commune
déi Lénk,2013,CARRILHO Beatriz,127,Walferdange,Commune
déi Lénk,2013,DELVAUX Joël,121,Walferdange,Commune
déi Lénk,2013,ERPELDING Michel,113,Walferdange,Commune
déi Lénk,2013,FOETZ Guy,136,Walferdange,Commune
déi Lénk,2013,GORZA Thérèse,113,Walferdange,Commune
déi Lénk,2013,JACQUES Yannick,95,Walferdange,Commune
déi Lénk,2013,LECUIT Janine dite Vania,114,Walferdange,Commune
déi Lénk,2013,LECUIT-JACOBY Sylvie,96,Walferdange,Commune
déi Lénk,2013,LENTZ Fabienne,110,Walferdange,Commune
déi Lénk,2013,SCHILTZ Claude,108,Walferdange,Commune
déi Lénk,2013,SCHOSSELER Jeanne,92,Walferdange,Commune
déi Lénk,2013,SIMON Claude,102,Walferdange,Commune
déi Lénk,2013,STOOS Guy,123,Walferdange,Commune
déi Lénk,2013,TESSARO  Isabella,92,Walferdange,Commune
déi Lénk,2013,THOMA Cléo,116,Walferdange,Commune
déi Lénk,2013,THOMAS Guy,99,Walferdange,Commune
déi Lénk,2013,TURPEL Justin,185,Walferdange,Commune
déi Lénk,2013,URBANY Laura,131,Walferdange,Commune
déi Lénk,2013,VALVASON Concetta,87,Walferdange,Commune
déi Lénk,2013,WAGNER David,164,Walferdange,Commune
déi Lénk,2013,WOLTER Nicole,88,Walferdange,Commune
déi Lénk,2013,Total Liste,2412,Walferdange,Commune
déi Lénk,2013,Suffrages de Liste,1659,Walferdange,Commune
déi Lénk,2013,Pourcentage,0.0435,Weiler-la-Tour,Commune
déi Lénk,2013,CARRILHO Beatriz,43,Weiler-la-Tour,Commune
déi Lénk,2013,DELVAUX Joël,36,Weiler-la-Tour,Commune
déi Lénk,2013,ERPELDING Michel,34,Weiler-la-Tour,Commune
déi Lénk,2013,FOETZ Guy,53,Weiler-la-Tour,Commune
déi Lénk,2013,GORZA Thérèse,31,Weiler-la-Tour,Commune
