NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2021;1;01;2;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;147,53650
1;2021;1;01;2;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;179,50930
1;2021;1;01;2;6;2;09;1;3;N;N;4;1;2;2;S;3;1;S;07;99;S;1;02;4;02;4;2;1;40;1;157,36130
1;2021;1;01;2;1;1;09;1;1;N;N;4;1;1;2;N;;;;;;;1;02;3;04;4;2;1;40;2;178,48350
2;2021;1;20;9;6;1;11;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;09;3;;;35;2;150,80700
2;2021;1;20;9;1;1;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;10;4;1;1;35;1;160,82340
2;2021;1;20;9;6;1;06;1;2;N;N;4;1;1;;N;;;;;;;1;02;5;04;4;2;5;0;3;191,19310
3;2021;1;01;2;6;2;13;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;09;4;2;1;40;2;152,77220
3;2021;1;01;2;1;1;13;1;2;N;N;3;1;;;N;;;;;;;4;04;3;04;4;2;;;1;168,26780
3;2021;1;01;2;1;1;06;1;1;N;N;4;2;;;S;6;2;S;02;12;S;2;06;8;02;4;2;;;3;211,28220
4;2021;1;01;9;6;1;13;1;1;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;1;5;35;1;51,08150
5;2021;1;20;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;172,27690
5;2021;1;20;9;1;1;09;1;1;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;2;202,44330
5;2021;1;20;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;172,27690
5;2021;1;20;9;6;1;09;1;3;N;N;4;1;1;4;N;;;;;;;1;02;3;02;4;2;1;32;1;176,57640
6;2021;1;48;9;1;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;03;2;;;40;1;191,10590
6;2021;1;48;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;234,39860
6;2021;1;48;9;6;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;9;09;4;1;5;35;2;205,03620
7;2021;1;01;2;6;1;12;1;1;N;N;2;2;;;N;;;;;;;4;07;9;09;4;2;;;3;157,63470
7;2021;1;01;2;6;1;18;1;1;N;N;4;2;;;N;;;;;;;4;07;;;;;;;1;235,19910
8;2021;1;20;9;6;1;18;1;1;N;N;2;1;;;N;;;;;;;4;04;6;01;2;;;;2;104,43900
8;2021;1;20;9;1;1;18;1;2;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;105,44390
9;2021;1;01;9;6;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;1;1;35;1;51,56820
9;2021;1;01;9;1;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;2;48,97540
9;2021;1;01;9;6;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;56,16180
10;2021;1;48;9;6;1;18;1;1;N;N;4;4;;;N;;;;;;;4;07;5;04;5;;;;1;92,69400
11;2021;1;01;9;6;1;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;5;04;2;;;40;2;36,88360
11;2021;1;01;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;31,36960
11;2021;1;01;9;6;1;03;1;1;S;N;4;2;;;N;;;;;;;;;;;;;;;3;44,55790
11;2021;1;01;9;1;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;04;2;;;40;1;40,45780
12;2021;1;01;9;6;1;09;1;3;N;N;4;1;1;4;N;;;;;;;1;02;3;06;4;2;1;32;1;71,56900
13;2021;1;01;2;6;2;14;1;3;N;N;2;1;;;N;;;;;;;4;04;8;10;4;2;;;1;152,79340
14;2021;1;48;9;6;1;07;1;3;N;S;4;1;;;N;;;;;;;4;04;2;09;4;2;;;2;278,98940
14;2021;1;48;9;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;226,51280
14;2021;1;48;9;1;1;08;1;2;N;N;4;1;1;4;N;;;;;;;1;02;8;04;2;;;40;1;248,98390
14;2021;1;48;9;1;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;207,88990
15;2021;1;01;9;6;2;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;2;1;40;2;41,51400
15;2021;1;01;9;1;1;11;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;08;4;2;5;40;1;47,86640
16;2021;1;20;3;1;1;11;1;2;N;N;4;2;1;2;N;;;;;;;1;02;1;04;4;2;1;40;2;114,75320
16;2021;1;20;3;6;1;12;1;3;N;S;4;1;2;2;S;3;2;S;07;0;N;1;03;5;04;4;2;2;12;1;107,60620
17;2021;1;20;9;6;1;15;1;1;N;N;2;1;;;N;;;;;;;4;04;9;08;4;2;;;1;139,12100
18;2021;1;01;9;6;1;08;1;3;N;N;4;1;;;N;;;;;;;4;04;4;09;4;1;;;2;72,22070
18;2021;1;01;9;1;2;08;1;3;N;N;4;1;1;4;N;;;;;;;1;02;3;05;4;2;1;32;1;70,90730
19;2021;1;01;2;1;1;12;1;3;N;N;4;1;1;4;N;;;;;;;1;02;5;09;4;1;1;0;1;195,82550
19;2021;1;01;2;6;1;11;1;2;N;N;3;2;;;N;;;;;;;4;07;9;08;4;2;;;2;196,84150
19;2021;1;01;2;6;1;07;1;3;N;N;4;2;1;3;N;;;;;;;1;02;2;09;4;1;5;0;3;261,20230
20;2021;1;48;1;6;1;05;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;201,37030
20;2021;1;48;1;1;1;13;1;3;N;N;4;1;1;2;N;;;;;;;1;02;1;09;4;1;1;40;1;206,32320
20;2021;1;48;1;6;2;13;1;3;N;N;4;1;;;N;;;;;;;4;04;3;02;4;2;;;2;207,61230
21;2021;1;01;9;1;2;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;27,17040
21;2021;1;01;9;1;2;09;1;2;N;N;4;1;1;1;N;;;;;;;1;02;7;02;4;2;1;20;2;28,48630
21;2021;1;01;9;6;2;09;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;2;1;35;1;28,74710
22;2021;1;48;1;1;1;15;1;3;N;N;2;1;;;N;;;;;;;4;04;1;06;4;2;;;1;169,51280
22;2021;1;48;1;6;1;15;1;2;N;N;4;1;;;N;;;;;;;4;04;;;;;;;2;168,67170
23;2021;1;48;9;1;2;11;1;2;N;N;4;1;1;3;N;;;;;;;1;02;9;02;4;2;1;0;1;219,23210
24;2021;1;48;1;6;2;17;1;3;N;N;2;4;;;N;;;;;;;4;07;2;09;4;1;;;1;198,55220
25;2021;1;48;9;1;2;13;1;1;N;N;3;2;;;N;;;;;;;4;07;9;03;4;2;;;1;212,22710
25;2021;1;48;9;6;1;12;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;214,41490
25;2021;1;48;9;1;1;05;1;2;N;N;4;2;1;2;N;;;;;;;1;02;5;04;4;2;1;40;3;233,68730
26;2021;1;01;9;6;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;35,43020
26;2021;1;01;9;6;3;09;2;1;N;N;4;1;2;3;N;;;;;;;1;02;5;09;4;2;1;0;1;82,56290
26;2021;1;01;9;6;2;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;35,43020
27;2021;1;20;9;1;1;07;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;218,70550
28;2021;1;01;2;6;2;17;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;163,33990
29;2021;1;20;9;1;1;15;1;2;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;104,92430
29;2021;1;20;9;6;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;5;09;4;2;;;2;103,92440
30;2021;1;48;9;1;2;16;1;1;N;N;2;2;;;N;;;;;;;4;07;3;02;4;2;;;1;169,79530
30;2021;1;48;9;6;2;15;1;1;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;2;168,95270
