NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2019;2;20;9;1;3;08;2;3;N;N;4;1;1;2;N;;;;;;;1;02;5;10;4;2;5;40;4;143.0496
1;2019;2;20;9;6;2;18;1;1;N;N;2;4;;;N;;;;;;;4;07;9;02;4;2;;;1;172.222
2;2019;2;48;9;1;1;13;1;1;N;N;2;1;;;N;;;;;;;4;04;;;;;;;1;181.6142
3;2019;2;20;3;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;135.9267
3;2019;2;20;3;6;3;11;2;1;N;N;4;1;2;2;N;;;;;;;1;02;9;10;4;2;5;17;1;133.5938
4;2019;2;48;1;1;1;09;1;2;N;N;4;1;;;S;6;2;S;07;16;S;2;05;3;04;4;2;;;1;250.5609
5;2019;2;48;1;1;1;11;1;3;N;S;4;1;1;2;N;;;;;;;1;02;5;09;4;1;1;38;2;227.1031
5;2019;2;48;1;1;1;04;1;1;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;203.168
5;2019;2;48;1;6;1;12;1;3;N;S;4;1;1;2;N;;;;;;;1;02;4;09;4;1;1;37;1;205.3264
5;2019;2;48;1;6;1;04;1;2;S;S;4;2;;;N;;;;;;;4;04;3;10;4;2;;;3;240.5402
6;2019;2;01;2;6;1;08;1;3;N;N;4;1;1;3;N;;;;;;;1;02;3;05;4;2;1;0;2;144.4978
6;2019;2;01;2;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;157.8231
6;2019;2;01;2;1;1;09;1;2;N;N;4;1;1;3;N;;;;;;;1;02;7;04;2;;;0;1;183.1335
7;2019;2;20;9;1;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;08;4;2;1;40;1;191.8212
8;2019;2;48;9;6;1;12;1;2;N;N;4;1;2;4;N;;;;;;;1;02;2;09;4;2;2;0;2;278.7543
8;2019;2;48;9;6;2;06;1;3;N;N;4;3;1;2;N;;;;;;;1;02;3;06;4;2;1;36;3;296.3925
8;2019;2;48;9;1;2;07;1;1;N;N;4;3;2;2;N;;;;;;;1;02;9;04;4;2;5;24;3;404.7706
8;2019;2;48;9;1;1;12;1;3;N;N;4;1;1;2;N;;;;;;;1;02;9;04;4;2;1;36;1;245.3444
9;2019;2;01;2;6;1;11;1;3;N;N;4;1;2;2;N;;;;;;;1;02;2;09;4;1;5;20;1;188.4099
9;2019;2;01;2;1;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;203.5737
9;2019;2;01;2;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;183.5498
9;2019;2;01;2;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;09;4;1;1;35;2;172.1222
10;2019;2;20;9;1;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;02;3;;;40;4;156.1799
10;2019;2;20;9;6;1;10;1;2;N;N;4;1;2;2;N;;;;;;;1;03;2;09;2;;;10;3;152.0004
10;2019;2;20;9;1;1;04;1;1;S;N;4;2;;;N;;;;;;;4;04;;;;;;;4;167.6069
10;2019;2;20;9;1;1;04;1;2;S;N;4;2;;;N;;;;;;;4;04;;;;;;;4;167.6069
10;2019;2;20;9;1;1;15;1;1;N;N;2;4;;;N;;;;;;;4;07;6;08;2;;;;2;229.0005
10;2019;2;20;9;6;1;15;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;1;238.9458
10;2019;2;20;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;4;163.7755
11;2019;2;48;9;6;1;09;1;3;N;N;4;1;1;2;N;;;;;;;1;02;1;03;4;2;1;40;1;246.336
11;2019;2;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;227.7963
11;2019;2;48;9;1;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;227.7963
11;2019;2;48;9;1;1;09;1;1;N;N;4;1;1;2;N;;;;;;;1;02;1;02;4;2;1;40;2;277.0285
11;2019;2;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;227.7963
12;2019;2;48;1;6;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;171.0457
13;2019;2;20;9;1;1;08;1;3;N;N;4;1;1;4;N;;;;;;;1;02;2;02;3;;;0;1;183.1682
14;2019;2;20;9;1;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;1;203.6911
15;2019;2;01;9;1;2;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;64.8594
15;2019;2;01;9;6;1;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;3;03;4;2;5;40;2;66.6498
