day,population,activities,time,time_in_minutes
Year 2014_Monday til Friday,All,Personal care,11:07,667
Year 2014_Monday til Friday,All,Sleep,08:26,506
Year 2014_Monday til Friday,All,Eating,01:47,107
Year 2014_Monday til Friday,All,Other personal care,00:56,56
Year 2014_Monday til Friday,All,Employment,07:37,457
Year 2014_Monday til Friday,All, Main job,07:47,467
Year 2014_Monday til Friday,All, Job seeking,02:35,155
Year 2014_Monday til Friday,All, Second job,04:12,252
Year 2014_Monday til Friday,All,Study,06:26,386
Year 2014_Monday til Friday,All, School or university,05:44,344
Year 2014_Monday til Friday,All, Homework,02:05,125
Year 2014_Monday til Friday,All, Free time study,01:33,93
Year 2014_Monday til Friday,All,Household and family care,02:59,179
Year 2014_Monday til Friday,All, Food management,01:05,65
Year 2014_Monday til Friday,All, Household upkeep,01:05,65
Year 2014_Monday til Friday,All, Making and care for textiles,00:55,55
Year 2014_Monday til Friday,All, Gardening and pet care,01:13,73
Year 2014_Monday til Friday,All, Construction and repairs,01:50,110
Year 2014_Monday til Friday,All, Shopping and services (excluding online services),01:07,67
Year 2014_Monday til Friday,All, Household management (excluding online services),00:42,42
Year 2014_Monday til Friday,All, Childcare (less than 17 years) ,01:44,104
Year 2014_Monday til Friday,All, Help to an adult household member ,01:35,95
Year 2014_Monday til Friday,All,Voluntary work and meetings,02:17,137
Year 2014_Monday til Friday,All, Organisational work ,02:33,153
Year 2014_Monday til Friday,All, Informal help to other households,02:00,120
Year 2014_Monday til Friday,All,Participatory activities,02:00,120
Year 2014_Monday til Friday,All,Social life and entertainment  ,01:08,68
Year 2014_Monday til Friday,All, Sociability,00:38,38
Year 2014_Monday til Friday,All, Visiting and receiving visitors,01:19,79
Year 2014_Monday til Friday,All, Culture,02:09,129
Year 2014_Monday til Friday,All, Entertainment ,01:50,110
Year 2014_Monday til Friday,All, Resting — Time out,00:28,28
Year 2014_Monday til Friday,All,Sports and outdoor activities ,01:42,102
Year 2014_Monday til Friday,All, Sports,01:40,100
Year 2014_Monday til Friday,All,Outdoor activities ,03:34,214
Year 2014_Monday til Friday,All,Hobbies and games,01:29,89
Year 2014_Monday til Friday,All, Arts,01:27,87
Year 2014_Monday til Friday,All, Collecting,00:50,50
Year 2014_Monday til Friday,All, Computing,01:16,76
Year 2014_Monday til Friday,All, Games,01:24,84
Year 2014_Monday til Friday,All,Media,02:30,150
Year 2014_Monday til Friday,All, Reading,00:56,56
Year 2014_Monday til Friday,All," TV, video and dvd",02:18,138
Year 2014_Monday til Friday,All," Listening to radio, music",00:38,38
