fatheduc,motheduc,nkids,faminc,huswage,hushrs,husage,huseduc,city,unem,inlf,mtr
7,14,0,19495,8.4986,1705,57,11,1,7.5,1,0.7215
7,7,2,14500,6.6872,1944,41,17,1,7.5,1,0.7215
12,12,2,21800,8.279,1993,43,17,1,11,1,0.6915
10,7,4,91044,17.826,2300,38,13,1,7.5,1,0.4415
10,10,3,73600,12.062,2160,45,12,1,7.5,0,0.4415
10,12,4,24669,7.767,2033,33,17,1,9.5,0,0.6615
16,12,0,16200,2.4955,3443,59,17,1,11,1,0.7215
7,12,3,4000,7.0769,800,33,16,1,11,0,0.8015
7,7,1,24466,6.0453,2184,55,15,1,14,1,0.64
7,7,0,16120,4.2328,1920,53,8,1,5,1,0.6915
12,12,0,26800,9.5238,2205,53,12,1,7.5,1,0.6215
7,12,2,20050,6.6946,2390,43,12,0,11,1,0.6915
16,10,1,23000,5.5147,3275,60,15,0,7.5,0,0.6615
17,17,3,39100,12,2000,33,17,0,9.5,1,0.58
7,10,3,23882,6.7416,1780,46,10,1,9.5,1,0.7215
10,12,0,31106,8.0092,2480,35,12,1,9.5,0,0.5815
7,10,0,19500,6.9215,2112,30,12,0,7.5,1,0.6915
7,7,0,16120,4.1667,1920,53,8,0,5,1,0.7515
7,7,0,42430,7.2296,2600,57,14,1,9.5,1,0.5215
7,7,1,20300,2.9762,3482,51,10,0,7.5,1,0.6915
7,10,4,19900,5.6889,2070,49,12,1,5,0,0.7515
10,12,0,31106,8.0092,2185,48,12,0,9.5,1,0.6915
10,7,0,20968,6.425,3000,35,12,1,7.5,1,0.7215
12,12,1,21768,10.293,2256,50,16,1,11,0,0.6915
16,7,0,48800,14.583,1920,58,16,1,14,1,0.4615
0,0,6,15200,3.3742,1304,38,9,1,7.5,1,0.7915
0,7,3,22500,4.9797,1968,39,7,0,7.5,1,0.7215
7,7,1,17700,4.6154,2080,57,12,1,7.5,0,0.7515
7,10,2,17200,4.6053,1824,49,8,1,7.5,1,0.7215
