age,educ,exper,hours,wage,faminc,nkids,city
56,8,24,0,2.4213,12800,0,1
43,13,15,1670,2.9,19150,4,1
30,12,7,480,6.875,22502,0,1
31,14,16,2317,2.8054,24984,1,1
31,15,17,2540,5.0948,37100,3,1
41,12,5,0,0,35910,1,1
31,16,8,1000,6,19900,4,1
46,12,7,0,1.4154,15632,4,0
31,12,3,1100,2.3897,22200,0,0
44,15,5,0,0,20300,0,0
33,12,9,1250,1.6,13740,1,1
52,10,28,1728,4,16600,0,0
46,12,10,0,0,29553,1,1
46,12,6,15,3.5616,32590,2,1
41,12,11,1900,2,17930,3,0
37,12,8,0,0,34000,5,1
44,14,10,0,0,14800,2,1
48,12,13,0,1.1987,13579,3,1
32,12,10,0,0,14700,2,1
43,13,4,0,0,63500,3,1
43,12,10,0,0,29800,1,0
43,14,1,240,0,23700,0,1
30,12,1,112,2.6786,15810,4,0
47,15,18,630,0,7232,0,0
60,11,45,0,2.5429,7040,0,1
30,12,9,0,0,12100,2,0
42,10,9,1848,4.0625,31431,1,1
30,12,0,240,2.0833,15500,3,0
47,15,17,1771,9.5785,32300,1,1
44,12,14,0,0,13390,1,0
34,12,16,2000,2.9,13600,0,0
43,12,1,0,0,51000,3,1
37,12,19,1579,3.4014,8400,1,0
32,16,8,1832,8.1746,10776,1,1
48,12,10,0,0,29612,1,1
47,17,24,1330,6.7669,20880,1,1
33,11,15,1878,3.0277,16640,2,0
40,12,1,0,0,25100,3,0
49,12,15,210,4.3365,16000,0,1
44,12,7,0,0,18232,1,1
30,12,7,1173,10.204,15810,3,0
52,17,4,0,3.6585,24000,2,1
41,12,7,0,1.7821,14209,0,0
53,8,9,0,0,17500,0,1
44,12,29,2088,3.5714,24900,2,1
31,14,0,2064,5.2326,55000,2,1
49,12,17,794,0,18800,1,0
56,13,25,0,0,14000,0,0
54,10,34,1599,4.3956,18000,0,0
46,12,24,3225,2.882,18200,0,1
60,12,14,0,0,30200,0,1
32,11,5,60,1.6667,15150,1,1
52,12,13,1610,2.9891,33552,1,1
46,12,35,1000,6.2275,19000,2,0
53,12,9,0,2.5641,14756,0,1
55,10,20,2014,0,17970,0,1
43,15,9,1500,2.4725,21520,4,1
55,9,7,372,0,12405,0,1
49,12,8,1820,2.4725,21520,3,1
55,12,20,2076,2.9674,23426,0,1
47,14,7,900,2.3897,34550,2,1
48,8,18,1336,3.25,18900,1,1
50,12,2,996,6.25,33000,0,1
37,12,23,2000,3.55,16200,3,0
43,14,6,282,3.5461,25700,1,1
54,12,30,0,0,9560,0,0
30,12,4,0,0,19392,1,0
36,12,7,0,0,6531,2,0
38,11,4,0,0,16788,0,1
48,12,5,0,0,26613,0,0
48,17,20,1000,5.4167,17000,0,1
44,12,22,740,2.7961,16225,1,1
48,9,1,0,0,14060,2,0
54,17,7,0,2.5654,25704,1,0
32,12,15,0,0,16510,3,1
35,12,9,0,0,17200,2,1
49,12,24,1944,2.572,35700,2,0
59,12,16,0,0,16476,0,0
40,13,19,0,1.1217,16000,3,0
45,12,11,1587,3.354,12870,3,1
