Party,Year,Variables,Values,locality,division
PIRATEN,2018,Pourcentage,0.0644620391850467,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Suffrage total,227549,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Suffrages de liste,181560,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Suffrage nominatifs,45989,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Pourcentage pondéré,0.0661139525456166,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Suffrage total pondéré,13393.9233954451,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Suffrages de liste pondéré,10308,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Suffrage nominatifs pondéré,3085.92339544513,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Mandats attribués,2,Grand-Duchy of Luxembourg,National
déi gréng,2018,Pourcentage,0.151245804141623,Grand-Duchy of Luxembourg,National
déi gréng,2018,Suffrage total,533893,Grand-Duchy of Luxembourg,National
déi gréng,2018,Suffrages de liste,335196,Grand-Duchy of Luxembourg,National
déi gréng,2018,Suffrage nominatifs,198697,Grand-Duchy of Luxembourg,National
déi gréng,2018,Pourcentage pondéré,0.150485989865007,Grand-Duchy of Luxembourg,National
déi gréng,2018,Suffrage total pondéré,30486.72394755,Grand-Duchy of Luxembourg,National
déi gréng,2018,Suffrages de liste pondéré,18388,Grand-Duchy of Luxembourg,National
déi gréng,2018,Suffrage nominatifs pondéré,12098.72394755,Grand-Duchy of Luxembourg,National
déi gréng,2018,Mandats attribués,9,Grand-Duchy of Luxembourg,National
LSAP,2018,Pourcentage,0.176016276630191,Grand-Duchy of Luxembourg,National
LSAP,2018,Suffrage total,621332,Grand-Duchy of Luxembourg,National
LSAP,2018,Suffrages de liste,349071,Grand-Duchy of Luxembourg,National
LSAP,2018,Suffrage nominatifs,272261,Grand-Duchy of Luxembourg,National
LSAP,2018,Pourcentage pondéré,0.167734340949501,Grand-Duchy of Luxembourg,National
LSAP,2018,Suffrage total pondéré,33981.0407177364,Grand-Duchy of Luxembourg,National
LSAP,2018,Suffrages de liste pondéré,18543,Grand-Duchy of Luxembourg,National
LSAP,2018,Suffrage nominatifs pondéré,15438.0407177364,Grand-Duchy of Luxembourg,National
LSAP,2018,Mandats attribués,10,Grand-Duchy of Luxembourg,National
CSV,2018,Pourcentage,0.2831132511362,Grand-Duchy of Luxembourg,National
CSV,2018,Suffrage total,999381,Grand-Duchy of Luxembourg,National
CSV,2018,Suffrages de liste,630270,Grand-Duchy of Luxembourg,National
CSV,2018,Suffrage nominatifs,369111,Grand-Duchy of Luxembourg,National
CSV,2018,Pourcentage pondéré,0.288952347780206,Grand-Duchy of Luxembourg,National
CSV,2018,Suffrage total pondéré,58538.4092477571,Grand-Duchy of Luxembourg,National
CSV,2018,Suffrages de liste pondéré,35346,Grand-Duchy of Luxembourg,National
CSV,2018,Suffrage nominatifs pondéré,23192.4092477571,Grand-Duchy of Luxembourg,National
CSV,2018,Mandats attribués,21,Grand-Duchy of Luxembourg,National
KPL,2018,Pourcentage,0.0127241910623011,Grand-Duchy of Luxembourg,National
KPL,2018,Suffrage total,44916,Grand-Duchy of Luxembourg,National
KPL,2018,Suffrages de liste,31337,Grand-Duchy of Luxembourg,National
KPL,2018,Suffrage nominatifs,13579,Grand-Duchy of Luxembourg,National
KPL,2018,Pourcentage pondéré,0.0114097917453562,Grand-Duchy of Luxembourg,National
KPL,2018,Suffrage total pondéré,2311.49206349206,Grand-Duchy of Luxembourg,National
KPL,2018,Suffrages de liste pondéré,1605,Grand-Duchy of Luxembourg,National
KPL,2018,Suffrage nominatifs pondéré,706.492063492064,Grand-Duchy of Luxembourg,National
KPL,2018,Mandats attribués,0,Grand-Duchy of Luxembourg,National
DP,2018,Pourcentage,0.169145961338471,Grand-Duchy of Luxembourg,National
DP,2018,Suffrage total,597080,Grand-Duchy of Luxembourg,National
DP,2018,Suffrages de liste,365729,Grand-Duchy of Luxembourg,National
DP,2018,Suffrage nominatifs,231351,Grand-Duchy of Luxembourg,National
DP,2018,Pourcentage pondéré,0.175004847289243,Grand-Duchy of Luxembourg,National
DP,2018,Suffrage total pondéré,35453.961352657,Grand-Duchy of Luxembourg,National
DP,2018,Suffrages de liste pondéré,20787,Grand-Duchy of Luxembourg,National
DP,2018,Suffrage nominatifs pondéré,14666.961352657,Grand-Duchy of Luxembourg,National
DP,2018,Mandats attribués,12,Grand-Duchy of Luxembourg,National
ADR,2018,Pourcentage,0.0828301891603014,Grand-Duchy of Luxembourg,National
ADR,2018,Suffrage total,292388,Grand-Duchy of Luxembourg,National
ADR,2018,Suffrages de liste,219444,Grand-Duchy of Luxembourg,National
ADR,2018,Suffrage nominatifs,72944,Grand-Duchy of Luxembourg,National
ADR,2018,Pourcentage pondéré,0.0855719937057953,Grand-Duchy of Luxembourg,National
ADR,2018,Suffrage total pondéré,17335.8978605935,Grand-Duchy of Luxembourg,National
ADR,2018,Suffrages de liste pondéré,12836,Grand-Duchy of Luxembourg,National
ADR,2018,Suffrage nominatifs pondéré,4499.89786059351,Grand-Duchy of Luxembourg,National
ADR,2018,Mandats attribués,4,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Pourcentage,0.0548429745417028,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Suffrage total,193594,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Suffrages de liste,129011,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Suffrage nominatifs,64583,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Pourcentage pondéré,0.050388943245774,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Suffrage total pondéré,10208.2180814355,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Suffrages de liste pondéré,6763,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Suffrage nominatifs pondéré,3445.21808143547,Grand-Duchy of Luxembourg,National
déi Lénk,2018,Mandats attribués,2,Grand-Duchy of Luxembourg,National
PIRATEN,2018,Pourcentage,0.0513721649617968,Centre,Electoral district
PIRATEN,2018,CLEMENT Sven (1),8007,Centre,Electoral district
PIRATEN,2018,WEYER Jerry (2),3446,Centre,Electoral district
PIRATEN,2018,CLEMENT Pascal (3),3418,Centre,Electoral district
PIRATEN,2018,KUNAKOVA Lucie (4),2860,Centre,Electoral district
PIRATEN,2018,WAMPACH Jo (14),2693,Centre,Electoral district
PIRATEN,2018,LAUX Cynthia (6),2622,Centre,Electoral district
PIRATEN,2018,ISEKIN Christian (5),2610,Centre,Electoral district
PIRATEN,2018,SCHWEICH Georges (9),2602,Centre,Electoral district
PIRATEN,2018,LIESCH Mireille (8),2551,Centre,Electoral district
PIRATEN,2018,MICHELS Jil (13),2542,Centre,Electoral district
PIRATEN,2018,DIDELOT Loïc (19),2490,Centre,Electoral district
PIRATEN,2018,CANNIVY Sven (7),2466,Centre,Electoral district
PIRATEN,2018,POTT Jeannine (12),2386,Centre,Electoral district
PIRATEN,2018,BIS Pierrot (15),2368,Centre,Electoral district
PIRATEN,2018,ARNDT Lucas (16),2368,Centre,Electoral district
PIRATEN,2018,ZOLLER Thierry (21),2361,Centre,Electoral district
PIRATEN,2018,ABEN Rudolphe (10),2360,Centre,Electoral district
PIRATEN,2018,THOLL Marc (18),2357,Centre,Electoral district
PIRATEN,2018,FELTGEN Francy (11),2349,Centre,Electoral district
PIRATEN,2018,PHILIPPE-ALFONSETTI Huguette (17),2349,Centre,Electoral district
PIRATEN,2018,CIGRAND Jeff (20),2332,Centre,Electoral district
PIRATEN,2018,Suffrages total,59537,Centre,Electoral district
PIRATEN,2018,Suffrages de liste,45255,Centre,Electoral district
PIRATEN,2018,Suffrages nominatifs,14282,Centre,Electoral district
PIRATEN,2018,Nombre de mandats attribués,1,Centre,Electoral district
déi gréng,2018,Pourcentage,0.162036697485191,Centre,Electoral district
déi gréng,2018,BAUSCH François (1),19889,Centre,Electoral district
déi gréng,2018,TANSON Sam (2),17290,Centre,Electoral district
déi gréng,2018,BENOY François (4),9830,Centre,Electoral district
déi gréng,2018,MARGUE Charles (10),9515,Centre,Electoral district
déi gréng,2018,BACK Carlo (3),9307,Centre,Electoral district
déi gréng,2018,BERNARD Djuna (5),9135,Centre,Electoral district
déi gréng,2018,THILL Jessie (19),8428,Centre,Electoral district
déi gréng,2018,POLFER Paul (14),8225,Centre,Electoral district
déi gréng,2018,BRÖMMEL Christa (6),8041,Centre,Electoral district
déi gréng,2018,DAMJANOVIC Gaby (7),7991,Centre,Electoral district
déi gréng,2018,FRANK Tanja (9),7904,Centre,Electoral district
déi gréng,2018,FORGIARINI Nora (8),7691,Centre,Electoral district
déi gréng,2018,PAULUS Liz (13),7585,Centre,Electoral district
déi gréng,2018,NEY Carole (12),7440,Centre,Electoral district
déi gréng,2018,REMMY Claire (15),7415,Centre,Electoral district
déi gréng,2018,ZENS Paul (21),7404,Centre,Electoral district
déi gréng,2018,TEX Roland (18),7387,Centre,Electoral district
déi gréng,2018,SCHMIT Claude (17),7266,Centre,Electoral district
déi gréng,2018,WAGENER Yves (20),6729,Centre,Electoral district
déi gréng,2018,MILLER Roger (11),6703,Centre,Electoral district
déi gréng,2018,ROEDER Jean-Paul (16),6615,Centre,Electoral district
déi gréng,2018,Suffrages total,187790,Centre,Electoral district
déi gréng,2018,Suffrages de liste,114429,Centre,Electoral district
déi gréng,2018,Suffrages nominatifs,73361,Centre,Electoral district
déi gréng,2018,Nombre de mandats attribués,4,Centre,Electoral district
LSAP,2018,Pourcentage,0.117321506383015,Centre,Electoral district
LSAP,2018,SCHNEIDER Etienne (1),16872,Centre,Electoral district
LSAP,2018,ANGEL Marc (2),10260,Centre,Electoral district
