wage,educ,fatheduc,motheduc,inlf,hours,kidslt6,kidsge6,age,huswage,mtr,unem,city,exper
3.354,12,7,12,1,1610,1,0,32,4.0288,0.7215,5,0,14
1.3889,12,7,7,1,1656,0,2,30,8.4416,0.6615,11,1,5
4.5455,12,7,12,1,NA,1,3,35,3.5807,0.6915,5,0,15
1.0965,12,7,7,1,456,0,3,34,3.5417,0.7815,5,0,6
4.5918,14,14,NA,1,1568,1,2,31,10,0.6215,9.5,1,7
4.7421,12,7,14,1,2032,0,0,NA,6.7106,0.6915,7.5,1,33
8.3333,NA,7,14,1,1440,0,2,37,3.4277,0.6915,5,0,11
7.8431,12,3,3,1,1020,0,0,54,2.5485,0.6915,5,0,35
2.1262,12,7,7,1,1458,0,2,NA,4.2206,0.7515,3,0,24
4.6875,12,7,7,1,1600,0,2,39,5.7143,0.6915,5,0,21
NA,12,3,12,1,1969,0,1,33,9.7959,0.5815,5,0,15
4.5918,11,7,14,1,1960,0,1,42,8,0.6215,5,0,14
2.0833,12,16,16,1,240,NA,2,30,5.3004,0.7215,5,0,0
2.2668,12,10,10,1,997,0,2,43,4.3413,0.7215,7.5,1,14
3.6797,10,7,7,1,1848,0,1,43,10.87,0.5815,NA,1,6
1.3472,11,10,16,1,1224,0,3,35,9.1499,0.7215,7.5,1,9
3.2143,12,7,10,1,1400,0,2,43,6.1224,0.6915,7.5,1,20
5.175,12,12,12,1,640,0,5,39,6.1498,0.7215,7.5,1,6
2,12,7,7,1,2e3,0,0,45,6.917,0.6915,NA,1,23
7.5529,12,7,12,1,1324,0,4,35,NA,0.6915,5,0,9
3.5052,16,16,10,1,2215,0,2,42,3.131,NA,7.5,0,5
3.5714,12,10,12,1,1680,0,0,30,4,NA,3,0,11
3.25,13,3,7,1,1600,0,0,48,7.2227,0.6615,5,1,18
3.25,12,7,7,1,800,NA,0,45,7.9652,0.7215,11,0,15
2.1545,12,7,12,1,1955,NA,1,31,4.0884,0.7515,5,1,4
3.7879,17,14,16,1,660,0,2,43,14.181,0.5815,9.5,NA,21
4,12,7,3,1,525,0,0,59,6.5359,0.6915,9.5,1,31
4.7269,12,7,3,1,1904,0,3,32,8.5,0.6615,11,1,9
7.2559,17,12,12,NA,1516,1,0,31,6.2762,0.6215,5,0,7
5.8671,12,12,12,1,NA,0,0,42,5.2083,0.7215,9.5,0,7
1.5385,11,7,7,1,1040,0,0,50,2.7821,NA,7.5,1,32
2.459,16,3,3,1,732,0,0,59,4.9107,0.6915,14,1,11
5.8511,13,10,12,1,1880,0,2,36,5.8669,0.6615,7.5,0,16
3.5714,12,14,7,1,1680,0,1,51,7.52,0.6915,5,1,14
3.8068,NA,12,12,1,2081,0,3,45,7.5449,0.6615,5,1,27
2.4638,11,3,10,1,690,0,1,42,5.538,0.7515,7.5,0,0
2.3753,12,3,3,1,4210,0,0,46,NA,0.6915,11,1,17
4.5351,10,3,10,1,2205,0,1,46,5,0.6615,11,0,28
5.6183,14,7,7,1,1952,0,0,51,7.3064,0.6215,14,0,24
14.631,17,17,14,1,1302,0,0,NA,11.218,0.58,5,1,11
2.6786,12,12,12,1,112,1,2,30,3.8462,0.7215,3,0,1
3.9194,12,9,9,1,NA,0,0,57,5.8366,0.6215,7.5,1,14
2.5729,16,16,14,1,583,1,2,NA,13.725,0.6615,9.5,1,6
4.5375,12,3,3,1,480,0,2,48,6.3493,0.6615,5,0,10
2,12,7,12,1,1900,0,3,30,5.2528,0.7215,NA,0,6
3.4722,12,7,12,1,576,0,2,34,1.3075,0.7815,NA,0,4
2.0161,16,16,14,1,2056,0,2,48,2.7998,0.7215,5,1,10
4.5716,12,10,NA,1,1984,0,0,45,2.6961,0.7215,11,0,22
2.2727,12,7,7,1,2640,0,0,51,7.5688,0.6615,3,0,16
2.6375,12,7,NA,1,240,0,2,30,3.4077,0.7815,14,0,6
NA,12,7,7,1,1173,0,1,46,6.5401,0.6915,11,1,12
1.0989,12,3,7,1,NA,0,0,58,7.2139,0.6915,9.5,1,32
1.1765,12,7,12,1,340,0,8,37,6.2732,0.7515,5,0,15
1.6,8,7,7,1,500,0,0,52,5.8824,0.7515,5,1,17
1.8762,10,3,7,1,1599,0,0,52,3.8095,0.7515,7.5,NA,34
4.0437,16,12,12,1,1830,0,0,31,NA,0.6915,7.5,1,9
9.6354,14,7,7,1,1920,0,0,55,NA,0.64,14,1,37
8.0409,17,17,17,1,2052,0,0,34,8.8119,0.58,7.5,1,NA
4.599,14,7,17,1,2312,0,NA,55,8.8765,0.5815,11,1,35
2.1429,12,7,12,1,196,0,2,39,NA,0.7515,14,1,6
4.4,14,3,14,1,2500,0,3,40,3.1836,0.5515,7.5,0,19
3.5354,12,12,12,1,NA,0,4,43,6.9149,0.6915,9.5,1,10
2.7174,8,7,7,1,1840,0,0,48,5.5147,0.7215,14,1,11
6.25,12,7,7,1,320,0,0,NA,5.2808,0.7215,9.5,1,15
11.933,12,7,7,1,419,0,4,41,3.2,0.7515,5,1,12
3.5931,8,12,12,1,NA,0,0,36,5.8791,0.6915,7.5,0,12
6.9444,17,16,12,1,72,NA,2,46,6.25,0.6915,7.5,0,14
2.9167,12,7,12,1,120,0,0,34,7.4879,0.7215,5,1,11
3.0769,12,7,7,1,1885,0,3,41,6.9767,0.6915,5,1,9
3.75,12,7,12,1,240,0,1,51,8,0.6915,5,0,24
5.7259,12,12,12,1,1729,0,NA,33,4.1319,0.6915,7.5,1,12
3.6757,12,10,10,1,1850,0,0,52,14.476,0.5515,7.5,1,13
5.1648,9,NA,7,1,2033,0,0,58,5.7343,0.6615,7.5,1,29
8.2237,10,0,0,1,608,2,4,34,NA,0.7915,7.5,1,11
4.3365,12,10,7,1,1153,0,1,31,1.8333,0.7215,7.5,1,13
4.9819,12,14,NA,1,2208,0,1,48,5.6025,0.6615,5,1,19
0.3571,12,7,7,1,252,0,2,32,4.2975,0.7215,3,0,2
2.9674,17,3,3,1,337,0,0,49,3.9161,0.7515,14,1,24
1,15,12,10,1,90,2,2,32,4.8787,0.7515,7.5,NA,9
2.5554,12,12,7,1,1174,0,0,58,9.2402,0.6615,7.5,1,6
0.8602,6,7,12,1,372,0,0,50,6.6519,0.7215,7.5,1,22
1,14,17,12,1,30,0,0,60,4.6217,0.7515,9.5,0,30
2.9261,12,3,7,1,1800,0,1,50,9.9741,0.6615,7.5,NA,10
3.5461,14,7,7,1,282,0,0,NA,20.918,0.6215,9.5,1,6
1.6264,9,7,7,1,720,0,0,51,1.94,0.7915,3,0,29
8.3333,17,12,7,1,1440,0,1,54,8.8351,0.5815,5,NA,29
3.0952,13,7,7,1,2100,0,0,59,4.6667,0.6915,5,1,36
2.7,9,7,7,1,1e3,NA,2,46,5.1894,0.7515,5,1,19
5.2521,15,12,7,1,952,0,1,46,18.724,0.4415,5,1,NA
1.4154,12,10,10,1,1413,1,3,39,10.417,0.7715,14,0,NA
4.7986,12,0,7,1,2100,0,NA,44,8.8458,0.6215,11,1,16
1.6667,12,12,12,1,120,2,0,33,7.569,0.7215,NA,1,11
1.1217,12,10,10,1,3e3,1,2,33,4.4507,0.6215,7.5,1,15
0.5,12,7,12,1,1e3,0,2,48,9.3204,0.6215,9,1,6
0.7143,12,7,7,1,336,0,4,31,9.1687,0.6915,11,0,13
2.7961,12,7,7,1,1216,0,1,45,6.4834,0.7215,11,0,22
4.8583,12,3,7,1,988,0,1,45,7.8125,NA,5,1,24
1.7435,13,12,14,1,2581,0,2,32,11.404,0.5815,7.5,1,NA
2.4631,12,7,7,1,2030,0,0,47,5.087,0.6915,3,0,6
2.4213,13,12,12,1,413,0,2,34,6.9758,NA,3,0,2
1.5345,12,7,12,1,782,0,1,37,5.2863,0.7715,9.5,1,2
2.8818,12,7,7,1,1388,0,1,36,11.562,0.6615,11,0,14
2.4069,12,10,7,NA,1450,1,2,47,8.6061,0.6915,9.5,1,9
5.2326,NA,14,14,1,1720,0,1,48,12.805,0.4415,7.5,1,11
3.75,12,7,12,1,800,0,2,42,6.6946,0.6915,11,NA,9
1.3889,13,12,10,1,360,0,NA,33,8.3333,0.6915,11,1,6
4,11,7,7,1,2e3,0,0,46,4.1667,0.6915,5,0,19
NA,12,7,7,1,1176,0,3,47,5.4759,0.7215,9.5,0,26
3.4014,12,10,7,1,2058,0,NA,44,5.144,0.6915,9.5,1,19
1.3333,12,7,7,1,NA,0,4,36,11.667,0.6615,7.5,1,3
NA,17,12,12,1,215,2,0,31,7.2917,0.7215,7.5,1,7
4.5,14,7,7,1,2e3,0,0,55,4.8611,NA,9.5,1,28
4.6235,16,7,12,1,757,0,1,45,12.164,0.6215,9.5,1,13
NA,17,17,10,1,1264,0,0,47,10.823,0.4615,9.5,1,9
NA,12,7,10,1,2064,0,3,46,12.478,0.4615,14,1,15
0.5,11,7,7,1,1280,0,0,49,6.162,0.7215,7.5,1,20
4.0816,12,7,7,1,1715,0,0,49,7.1846,0.6615,9.5,1,29
6,12,10,7,1,2e3,0,2,45,7.093,NA,14,1,9
3.6667,17,10,12,1,12,1,3,38,17.826,0.4415,14,1,1
3.8613,10,12,7,1,1528,0,0,47,6.393,NA,14,1,8
2.7629,13,7,7,1,561,0,3,54,11.719,0.5515,9.5,1,19
2.931,NA,12,12,1,2058,0,0,41,4.7883,0.7215,7.5,0,23
4.3884,12,7,14,1,1823,0,2,43,4.2328,0.7515,11,0,3
5.4167,16,10,NA,1,1680,1,1,31,7.1066,0.6615,7.5,0,13
9.8611,17,NA,7,1,1440,0,0,47,8.3333,0.61,7.5,1,8
0.1616,12,10,10,1,4950,0,2,35,6.9888,0.6915,7.5,0,17
0.3826,16,7,7,1,1176,0,3,45,NA,0.6615,11,1,4
3.6364,12,7,7,1,1100,1,0,33,6.0204,0.7215,7.5,0,15
2.3747,NA,7,12,1,1516,0,1,54,2.9686,0.7215,3,0,11
4.6667,8,7,10,1,900,0,4,35,7,0.6915,9.5,0,7
